ttM,uM,fBT,hp,tcM,startR,branch,BvR_T,BvR_Cq%,BvR_Cs%,BvR_Tb%,SvA_T,SvA_WR%,SvR_T,SvR_WR%,WvR_T,WvR_WR%
10,8,12,2000,3,30,35,82.3,50,43,7,100.4,80.0,95.7,80.0,72.2,70.0
10,8,12,2000,3,30,40,84.2,53,40,7,98.2,70.0,101.7,80.0,78.3,73.3
10,8,12,2000,3,40,25,71.2,50,47,3,82.6,30.0,74.5,23.3,56.9,10.0
10,8,12,2000,3,40,30,93.5,37,50,13,94.7,73.3,94.5,70.0,75.1,50.0
10,8,12,2000,3,40,35,70.7,47,50,3,99.8,76.7,104.3,83.3,77.4,70.0
10,8,12,2000,3,40,40,60.7,33,67,0,108.0,86.7,101.3,86.7,71.4,70.0
10,8,12,2000,3,50,25,47.7,10,90,0,83.6,20.0,45.0,0.0,46.6,0.0
10,8,12,2000,3,50,30,46.8,7,93,0,88.7,60.0,55.4,20.0,46.7,3.3
10,8,12,2000,3,50,35,45.9,3,97,0,45.0,100.0,46.7,93.3,56.0,10.0
10,8,12,2000,3,50,40,45.1,0,100,0,49.1,86.7,45.0,93.3,53.8,10.0
10,8,12,2000,4,30,25,72.8,83,17,0,93.4,30.0,97.8,43.3,77.1,46.7
10,8,12,2000,4,30,30,88.6,63,30,7,102.9,53.3,96.5,86.7,77.9,70.0
10,8,12,2000,4,30,35,80.3,73,23,3,95.0,60.0,96.8,76.7,78.8,96.7
10,8,12,2000,4,30,40,88.1,73,20,7,105.0,86.7,103.3,83.3,88.7,86.7
10,8,12,2000,4,40,25,73.8,37,60,3,86.1,43.3,74.8,30.0,62.5,20.0
10,8,12,2000,4,40,30,69.1,57,43,0,95.6,53.3,94.3,83.3,73.3,53.3
10,8,12,2000,4,40,35,75.0,53,43,3,93.5,73.3,99.1,73.3,78.6,63.3
10,8,12,2000,4,40,40,97.9,47,40,13,113.0,90.0,99.9,70.0,89.1,66.7
10,8,12,2000,4,50,25,90.2,43,47,10,93.1,60.0,71.9,40.0,58.6,6.7
10,8,12,2000,4,50,30,78.7,33,60,7,92.5,73.3,88.0,60.0,73.3,40.0
10,8,12,2000,4,50,35,72.3,53,43,3,105.8,76.7,94.3,86.7,76.5,36.7
10,8,12,2000,4,50,40,70.9,40,57,3,99.0,76.7,100.7,63.3,77.1,70.0
10,8,12,2000,5,30,25,81.6,97,0,3,87.3,43.3,87.4,73.3,78.0,40.0
10,8,12,2000,5,30,30,74.3,97,3,0,99.7,70.0,97.0,90.0,88.5,86.7
10,8,12,2000,5,30,35,74.2,100,0,0,98.3,73.3,97.3,93.3,88.6,86.7
10,8,12,2000,5,30,40,74.4,100,0,0,104.7,83.3,119.9,76.7,89.1,96.7
10,8,12,2000,5,40,25,79.8,80,17,3,93.3,30.0,85.6,50.0,67.7,20.0
10,8,12,2000,5,40,30,109.8,70,13,17,102.3,56.7,92.3,76.7,79.9,73.3
10,8,12,2000,5,40,35,94.6,63,27,10,100.6,70.0,97.1,90.0,81.9,90.0
10,8,12,2000,5,40,40,81.4,80,17,3,100.8,83.3,110.4,96.7,81.3,90.0
10,8,12,2000,5,50,25,75.3,50,47,3,93.3,53.3,78.1,50.0,67.9,16.7
10,8,12,2000,5,50,30,70.6,43,57,0,95.0,73.3,93.8,66.7,75.9,36.7
10,8,12,2000,5,50,35,75.2,53,43,3,97.2,70.0,98.9,90.0,72.2,70.0
10,8,12,2000,5,50,40,82.9,53,40,7,108.9,86.7,115.7,83.3,80.6,70.0
10,8,12,2500,3,30,25,197.9,0,43,57,103.6,36.7,80.6,33.3,66.4,3.3
10,8,12,2500,3,30,30,206.3,0,40,60,106.3,53.3,100.5,86.7,79.3,46.7
10,8,12,2500,3,30,35,201.6,0,43,57,113.5,76.7,107.6,83.3,92.7,73.3
10,8,12,2500,3,30,40,213.6,0,40,60,117.6,83.3,122.8,86.7,88.4,73.3
10,8,12,2500,3,40,25,140.8,0,67,33,109.2,40.0,79.8,30.0,65.2,20.0
10,8,12,2500,3,40,30,153.3,0,60,40,117.2,73.3,102.6,73.3,70.9,40.0
10,8,12,2500,3,40,35,218.3,0,33,67,112.2,73.3,107.6,73.3,99.2,70.0
10,8,12,2500,3,40,40,169.3,0,53,47,119.8,86.7,104.5,76.7,93.5,63.3
